PassengerId,Survived
1,1
2,1
3,0
4,0
5,1
6,1
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,0
16,1
17,0
18,1
19,0
20,0
21,0
22,0
23,1
24,0
25,1
26,0
27,0
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,0
39,1
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,1
51,0
52,1
53,1
54,0
55,0
56,0
57,0
58,1
59,0
60,1
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,1
78,1
79,0
80,1
81,0
82,1
83,0
84,0
85,0
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,1
94,0
95,0
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,0
111,0
112,0
113,1
114,0
115,0
116,1
117,1
118,0
119,0
120,1
121,0
122,1
123,0
124,0
125,1
126,1
127,0
128,0
129,0
130,1
131,1
132,0
133,1
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,0
